Feature,Cardinality,Embedding_Size
DAY,2,1
MONTH,12,6
YEAR,4,2
VAR_7MA_FRONT_AXLE_TYPE,2,1
VAR_DPX_ENGINE_TYPE,3,2
VAR_T1X_PTO_ENGINE_MOUNTED_REAR,2,1
VAR_4DX_FRONT_BUMPER,3,2
VAR_F1X_REAR_AXLE_LOAD,15,8
VAR_FTX_GROUND_CLEARANCE_FA,5,3
VAR_CKX_VEHICLE_PROFILE,2,1
VAR_KTX_ENGINE_EMISSION_CONTROL,2,1
VAR_3ZB_TRANSMISSION_PTO_TORQUE_CAP,5,3
VAR_QCX_TOPOGRAPHY,3,2
VAR_YLX_REAR_SUSPENSION_SYSTEM,2,1
VAR_DKX_GROSS_COMBINATION_WEIGHT,11,6
VAR_2RB_BATTERY_MAINTENANCE,2,1
VAR_FAX_STEERING_WHEEL_POS,2,1
VAR_2CX_CAB_VERSION,5,3
VAR_2DX_REAR_CAB_SUSPENSION,2,1
VAR_GSX_CHASSIS_HEIGHT,6,3
VAR_FFX_PUSHER_AXLE_FEATURES,3,2
VAR_5CB_AIR_SUSP_FEATURE_SOFTWARE,3,2
VAR_2GB_CLUTCHABLE_AIR_COMPRESSOR,2,1
VAR_5NX_ENGINE_BLOCK_HEATER,2,1
VAR_TAX_REAR_AXLE_RATIO,24,10
VAR_A3A_IDLE_SHUTDOWN,2,1
VAR_2LX_FRONT_CAB_SUSPENSION,2,1
VAR_RUX_GEAR_SHIFTING_SYSTEM,3,2
VAR_U3X_BRAKE_FRONT,3,2
VAR_T4X_PTO_TRANSM_MOUNTED,2,1
VAR_UBX_HYDRAULIC_PUMP_ENG_MTD,2,1
VAR_4QB_BODYBUILDER_EL_INTERFCAB_CHAS,3,2
VAR_REX_CRANK_CASE_VENTILATION,3,2
VAR_78X_TRANSPORT_CYCLE,3,2
VAR_T2X_TRANSMISSIONRETARDER_COOLER,2,1
VAR_U4X_BRAKE_DRIVE_REAR,3,2
VAR_FVX_FRONT_AXLE_LOAD,8,4
VAR_VWX_COMPRESSOR_CAPACITY,3,2
VAR_DAX_AXLE_ARRANGEMENT,6,3
VAR_H1B_TURBO_APPLICATION,2,1
VAR_FDX_REAR_AXLE_ARRANGEMENT,7,4
VAR_7PX_HYDRAULIC_PUMP_GEARBOX_MOUNTED,2,1
VAR_7NA_FRONT_SUSPENSION_INSTALLATION,4,2
VAR_LKX_DRIVER_STATE_SENSING_SYSTEM,2,1
VAR_QWX_TURBO,2,1
VAR_FZX_FRONT_AXLE_ARRANGEMENT,2,1
VAR_V6X_RETARDER,2,1
VAR_K4C_VEHICLE_UPTIME_SETTINGS,3,2
VAR_0RA_REGENERATION_CONTROLS_DPF,4,2
VAR_YKX_FRONT_SUSPENSION_SYSTEM,2,1
VAR_T3X_PTO_ENGINE_REAR_MOUNTED,2,1
VAR_PJX_ALTERNATOR_CAPACITY,3,2
VAR_41X_PARKING_HEATER,4,2
VAR_D7C_WHOLE_VEHICLE_TYPE_APPROVAL,2,1
VAR_5JB_TELEMATICS_COMMUNICAT_GATEWAYS,2,1
VAR_RWX_TRANSMISSION,8,4
VAR_DHX_ROAD_CONDITION,2,1
VAR_2EX_CAB_TILT_PUMP,2,1
VAR_D9C_EMISSION_LEVEL,4,2
VAR_DDX_CHASSIS_TYPE,2,1
VAR_O8A_ENGINE_PTO_TORQUE_CAPACITY,3,2
VAR_33A_CAB_HEIGHT,7,4
VAR_J2A_ACTIVE_STEERING,2,1
VAR_N9C_ADR_CLASSIFICATION,4,2
VFE_0001_HORSE_POWER,3,2
VFE_0002_GROSS_COMBINATION_WEIGHT_BIN,3,2
VFE_0003_ENGINE_GENERATION,3,2
VFE_0004_REAR_AXLE_LOAD_BIN,11,6
VFE_0005_REAR_AXLE_RATIO_BIN,16,8
VFE_0009_LTVF_TYPE,6,3
VFE_0005_VEHICLE_OPERATION_DIGIT1,5,3
VFE_0006_VEHICLE_OPERATION_DIGIT2,9,5
VFE_0007_CAB_HEIGHT,7,4
VFE_0008_HAS_PTO,2,1
